method,space,clone,w2_raw_mean,w2_raw_std,w2_scaled_mean,n_runs,clone_size_src,clone_size_tgt,clone_size_d6,dominant_fate,multipotency,pseudotime_spread,clone_size_d4,initial_var_dm,initial_var_pc
DeepRUOT,pc30,Clone_2281,13.129611817330044,0.6085523194375893,13.129611817330044,4,2,20,20,Monocyte,1,0.06649945459192291,2,0.026005285019009235,1.8566046229902842
DeepRUOT,pc30,Clone_2387,11.847505840702635,0.8294246019752632,11.847505840702635,4,2,32,32,Monocyte,1,0.045202805437437966,2,0.12215015208036642,6.436911044268188
DeepRUOT,pc30,Clone_2407,11.482935886997891,0.31720331908260063,11.482935886997891,4,2,27,27,Monocyte,2,0.030209314460111863,2,0.0363670033133063,2.9163751445345993
DeepRUOT,pc30,Clone_2445,8.064458662576673,0.07877816434115413,8.064458662576673,4,4,18,18,undiff,0,0.03277816679819855,4,0.24408911927943375,7.960521955494343
DeepRUOT,pc30,Clone_2490,19.16720356616247,0.11884064084001048,19.16720356616247,4,1,24,24,Baso,1,0.0714375538299548,1,,
DeepRUOT,pc30,Clone_2585,8.908405898330166,0.46297910427408,8.908405898330166,4,5,26,26,Baso,1,0.06257724589752804,5,0.4887596739832424,9.400750433049533
DeepRUOT,pc30,Clone_2712,14.675017158478376,0.4136679948782515,14.675017158478376,4,3,20,20,Monocyte,1,0.05421281879936427,3,0.08668884255758623,4.541710583071635
DeepRUOT,pc30,Clone_2735,16.310301562798163,0.40459533427368705,16.310301562798163,4,20,10,10,Monocyte,2,0.16732301294620547,20,4.610536081132733,13.558797550667286
DeepRUOT,pc30,Clone_2768,11.104298764629661,0.2038357602157742,11.104298764629661,4,3,33,33,Baso,3,0.05223903918151864,3,0.28138516443175327,10.327101976518657
DeepRUOT,pc30,Clone_3083,9.380505246773978,0.24937338629873215,9.380505246773978,4,3,28,28,Monocyte,1,0.021268575073960266,3,0.029011129114977947,4.9845196559107965
DeepRUOT,pc30,Clone_3250,21.60476896892315,1.0451847084614483,21.60476896892315,4,5,84,84,Meg,3,0.21489887254115192,5,0.7386909921268279,13.510531343329792
DeepRUOT,pc30,Clone_3269,14.099216401451912,0.26304841618012986,14.099216401451912,4,3,48,48,Mast,2,0.06774750030996113,3,0.2311131219726578,5.349833431922124
DeepRUOT,pc30,Clone_3330,9.109509249226692,0.5105951328631356,9.109509249226692,4,18,22,22,Neutrophil,2,0.08219859655244563,18,1.141745852155684,5.62091920165215
DeepRUOT,pc30,Clone_3336,5.346695308545395,0.2614061251872174,5.346695308545395,4,11,14,14,Neutrophil,1,0.02905610200385194,11,0.37168596294169925,4.9470671507570785
DeepRUOT,pc30,Clone_3349,12.304300509503143,0.14120842926782826,12.304300509503143,4,2,33,33,Monocyte,3,0.08510469065270893,2,0.007409246483237295,2.9855483489218093
DeepRUOT,pc30,Clone_3391,10.491862789777581,0.331902394687161,10.491862789777581,4,2,20,20,Baso,1,0.049304815246206155,2,0.0031898759376497443,10.516659247656612
DeepRUOT,pc30,Clone_3429,38.12473664221049,0.42982421905614177,38.12473664221049,4,20,1,1,Monocyte,1,0.0,20,1.2106735172871403,6.561291108224228
DeepRUOT,pc30,Clone_3438,14.51684720768825,0.7240832069042804,14.51684720768825,4,31,60,60,Monocyte,2,0.05403636556885514,31,1.8515856965966984,9.24900737000312
DeepRUOT,pc30,Clone_3522,12.37573813974151,0.6138084297825367,12.37573813974151,4,6,41,41,Neutrophil,2,0.13405377074455824,6,0.7101373222154671,3.497397656656704
DeepRUOT,pc30,Clone_358,6.959758122078753,0.30761961185457404,6.959758122078753,4,9,18,18,undiff,0,0.021143447576289647,9,0.12479959213126325,3.8640199482448963
DeepRUOT,pc30,Clone_3585,10.239724862598278,0.17336957881036336,10.239724862598278,4,6,70,70,Baso,3,0.06845826625704189,6,2.5918908186280167,7.57290917923037
DeepRUOT,pc30,Clone_3619,14.045797947289572,0.7546447974657867,14.045797947289572,4,2,24,24,Monocyte,1,0.03402846784521976,2,0.018038181964413612,6.091645300053623
DeepRUOT,pc30,Clone_3682,11.860823887359336,0.46757275888958383,11.860823887359336,4,9,55,55,Baso,3,0.06771963051087009,9,0.32762931265207107,5.171878406383085
DeepRUOT,pc30,Clone_3718,6.375040768620325,0.2799854723509474,6.375040768620325,4,4,29,29,undiff,0,0.021676354425988455,4,0.022966480440644012,5.791671691579242
DeepRUOT,pc30,Clone_3736,14.809039680656294,2.109034538565652,14.809039680656294,4,9,13,13,Monocyte,1,0.023466874751066718,9,1.7376384028382348,14.794947589668128
DeepRUOT,pc30,Clone_374,15.344298037916928,0.27808372281369254,15.344298037916928,4,10,15,15,Neutrophil,1,0.06616983226232935,10,4.132377803817445,9.39538486096213
DeepRUOT,pc30,Clone_3840,13.749594143591747,0.35805317100938433,13.749594143591747,4,35,46,46,Neutrophil,2,0.1449663979882648,35,2.0556227889900978,6.576694866473939
DeepRUOT,pc30,Clone_3887,12.9141005533222,0.6544443414206337,12.9141005533222,4,19,28,28,Monocyte,2,0.04869020778965274,19,3.476511776859283,13.785224414532609
DeepRUOT,pc30,Clone_398,18.377070122730682,0.680993024524663,18.377070122730682,4,2,25,25,Meg,2,0.15351807517177313,2,4.455718918993581,12.844691127701376
