GENE NAMES,,,,,,,,,,,,,,,,,,,,,,,,
Cish,Snrpf,Ighm,Lyz2,Hoxb4,Pglyrp2;tagL,Cd37,,,Zfr2,Gzma,F11r,Mmrn1,Trmt6,Oaz1,,Rpl36,,,,,,,,
Art4,Tmsb10,Cks2,Cd63,Tgm2,Pla2g16,9930104L06Rik,,,Ccdc136,Hbb-bs,Bex1,Gimap8,Pde4b,Set,,Rpsa,,,,,,,,
Glul,Golm1,Mcm6,Ryk,Neurl1a,Pnrc1,Lax1,,,Ocln,Spon1,Iigp1,Cd81,Fam110a,Rpl19,,Icam2,,,,,,,,
Cbx6,Tuba1b,Alyref,Rps18,Samsn1,Procr,Gapdh,,,Ptges,Clec12a,Fam110a,Grb10,Nap1l1,Pfn1,,Rplp1,,,,,,,,
Gstm2,Anp32b,Hdgf,Rps15,Mecom,Ptplad2,Gbp8,,,Gm13111,Lpxn,Prkcq,Ifi44,Gem,Crip1,,ENSMUSG00000100131,,,,,,,,
H2-Eb1,Cebpa,mt-Nd1,Gm10369,Gng11,Ptpn18,Ctsl,,,Wnk4,Add2,Nap1l3,Enpp5,Srsf1,Hmgb3,,Rnf144a,,,,,,,,
Scarf1,Fam46a,Atp5g3,Matn4,Amotl2,Ptprcap,Cd82,,,Gm6939,Ctss,Mtss1l,Tmem140,Bub1b,Mcm3,,Snrnp48,,,,,,,,
Rps4x,Hnrnpab,Tfrc,Gstm2,Kit,Rbp1,Cyp2j9,,,Disc1,Elane,Stau2,Mamdc2,Rpn1,Hsp90aa1,,H3f3b,,,,,,,,
mt-Nd5,Aqp1,Bub1b,Uba7,Pnpla1,Rbpms;Rbpms2,4930581F22Rik,,,Plekhg1,Ccl5,Abca5,Pik3ip1,Pim3,Cenpa,,Ap2b1,,,,,,,,
Tspan14,BC035044,Fignl1,Aldh1a1,Nkain3,Rgs1,E430024P14Rik,,,Sdc4,Igf1,Itga6,Tns2,H2afy,Ndufa4,,Sptan1,,,,,,,,
Fam63a,Sh2d5,Ctse,2410131K14Rik,Itga6,Rtp4,Mib2,,,Pbld1,Ctsg,Vegfc,H2-DMb1,Nkx2-3,Mcm7,,Rps9,,,,,,,,
Aplp2,Bin1,Btf3,Col16a1,Sat1,Serpina3f;Serpina3g,Upp1,,,Unc45b,Glcci1,Rex2,Gm19590,Id3,Slc22a3,,Arhgap17,,,,,,,,
Tbxas1,Ffar2,Cdca8,Rpl31,Fam107b,Shisa5,Padi4,,,Gbp6,Ptpru,Emcn,Slc50a1,Zfp36l1,Gata1,,Trappc1,,,,,,,,
Laptm4a,Dtymk,Rpsa,Msi2,Trim47,Srgn,Neurl3,,,Maf,Ms4a3,Pctk3,Neo1,Ubc,Sfxn1,,Syce2,,,,,,,,
Cdkn1c,Itga2b,Uhrf1,Rpl39,Jam3,Stxbp4,AC149090.1,,,Sfrp1,Meg3,P2rx1,Gbp4,Yrdc,Ncapd2,,Rpl32,,,,,,,,
H2-Q4,Rfc2,Slc29a1,Cd74,Camk2n1,Tbxas1,Parp3,,,Spin4,F13a1,Kdelc2,Limd2,Rpl30,Mcm5,,Rpl9,,,,,,,,
Rpl5,Cst7,Rps27l,Tspan14,Podxl,Tgtp2;Gm12185,Klc4,,,Chi3l7,Plac8,Cadps2,Meis1,Tra2b,Hint1,,Rpl5,,,,,,,,
Ppic,Itgal,Slc22a3,Cbx6,Gnat2,Tmem176a,Ltbp3,,,Amigo2,Ly6d,Arhgap12,Gprasp1,Tk1,Nme1,,Ifitm1,,,,,,,,
Fstl1,Anxa2,Fen1,Ptk2b,Eif4a2,Tmem176b,Tbkbp1,,,Cd74,Cd52,Slamf1,Pygm,mt-Nd4,Gnb2,,Ptrh2,,,,,,,,
Fgd5,Tyrobp,Vim,Clu,Efna1,Tnip3,Parp14,,,Ifitm7,Vpreb3,Enpp4,Irgm2,Hsp90b1,Actg1,,Rps5,,,,,,,,
Col16a1,Fgf18,Fcgr3,Rpl37a,Cldn12,Txnip,Neat1,,,1810062G17Rik,Ahnak,Pdcd6,Tcf15,Gars,Snrpd3,,Nbr1,,,,,,,,
D630039A03Rik,Irf2bp2,Birc5,Tmem176b,Enpp5,Ube2l6,Mapk1ip1,,,F830016B08Rik,Camk2n1,Aldh1a1,Col4a2,Fam171a2,Tubb5,,Cwf19l2,,,,,,,,
Ptk2b,Emilin2,Flt3,Esam,Mcfd2,Wfdc2,Use1,,,Atp9a,A330023F24Rik,Slc27a6,Trim47,Rpl13,Aqp1,,Rps6,,,,,,,,
Myof,Lgals9,Rabgap1l,Clec1a,Gimap4,Whamm;mKIAA1971,Cbx7,,,Procr,ENSMUSG00000097138,Pftk1,Hmgn3,Trib1,Txn1,,Prpf31,,,,,,,,
Mylk,Calr,Nop56,Iigp1,Nicn1,Zfand5,2310015A10Rik,,,Runx1t1,Abcg4,Cysltr2,Traip,Lars2,Mcm2,,Rps27,,,,,,,,
Ctsl,Ramp1,Hnrnpf,Serpina3g,Bhlhe41,Zfp608;mKIAA1281;Znf608;AK155149,Anxa6,,,Plekhg6,Cd53,Grb10,Sesn1,Slc25a5,Top2a,,Opa1,,,,,,,,
Nedd4,Cd52,Psma1,Slamf1,Vmp1,Zfp831,Acot1,,,Trib2,Pld4,Tie1,Abcg3,Tcp1,Chchd2,,Mpp7,,,,,,,,
Tcf15,Hmgn5,Cdk4,Exosc4,Calm1,,2810008D09Rik,,,Gm11100,Nrp1,Mras,Art4,Hsp90aa1,Atp5g3,,Rps4x,,,,,,,,
Abcg3,Parvg,Ermap,B2m,Fam63a,,Ifitm3,,,Chst2,Cd209a,Mtap9,Rras,Tpx2,Bub1b,,Myh9,,,,,,,,
F11r,Banf1,Atpif1,Clec4g,Slc24a5,,Sema4g,,,Cpne8,Hdc,Mamdc2,Jam3,Hlf,Parp1,,Hsp90ab1,,,,,,,,
Ltb,Gata1,Cdk1,Apoe,Cdc42,,Tle2,,,Pde1b,Amica1,Rell2,Nedd4,,Adgrg3,,Rpl41,,,,,,,,
Mir9-3hg,Myb,Rpl4,Unc45b,Ly6e,,Ctss,,,Sult1a1,Gfi1,Ccdc28a,Tm4sf1,,Mcm4,,AI987944,,,,,,,,
Rpl30,Mcm2,Gm10053,Rplp2,Rpl12,,H2-T23,,,Tead3,Atp1b1,Dsel,Obsl1,,Cbx3,,Zfp318,,,,,,,,
Hlf,Hnrnpf,Oaz1,Rpl32,Traip,,Npr2,,,Cd28,Dse,Ptger3,Selm,,Cks1brt,,Rpl14,,,,,,,,
Gabarapl1,Cox5a,Rhd,Wdpcp,Nxpe5,,Gramd1b,,,Gkn3,Tcf7,Ehbp1,Gbp8,,Cbx1,,Cd37,,,,,,,,
Bex1,Lmnb1,Rcc1,Rps6,Col4a2,,Limd2,,,Neil2,ENSMUSG00000097579,Sfrs12ip1,Ctsf,,Rpl4,,Yif1b,,,,,,,,
Clec1a,Cd37,Actr3,Sec14l1,Cbfa2t3,,Myof,,,Gm10499,Gprc5c,D14Ertd668e,Apbb1,,Ncl,,Rps15,,,,,,,,
H2-Q7,Chchd2,Clec12a,Myct1,Plod2,,Inadl,,,Kazn,Klf2,Lgals8,Smpdl3a,,H2afv,,Rpl21,,,,,,,,
H2-Aa,Asrgl1,Ddx39,Rps9,Lpar6,,Pnpla7,,,Gm4951,Evi2a,Pdk3,Gimap6,,Flna,,Rps8,,,,,,,,
Rps20,Palm,Chdh,Rpl11,Bmp4,,Islr,,,Clip3,AI607873,Plag1,Pdzk1ip1,,Uqcr11,,Rps3,,,,,,,,
Jam3,Mfsd2b,Nolc1,Fam210b,Serpinb10,,5830428H23Rik,,,Glipr1l1,Kcnd3,Prcp,Fstl1,,Siva1,,Rpl13a,,,,,,,,
Ndn,Syce2,Set,Rpl26,Hgs,,Lsp1,,,Neb,Sorl1,Pja2,St3gal1,,Mbd3,,Ptp4a3,,,,,,,,
Gimap8,Lig1,Dtl,Tmem176a,mt-Nd5,,Sema7a,,,Sox5,Hbb-bt,Ric3,Nkain3,,Pcbp1,,Rpl8,,,,,,,,
Casp12,Nrm,Nme1,Zfand5,Rhoq,,Rab6b,,,Rhbdf1,ENSMUSG00000097035,Fam49a,Dlgap4,,Atp5k,,Rpl38,,,,,,,,
Cd63,2810417H13Rik,Itgal,Mylk,Ptprn,,Cuedc1,,,Pde6h,ENSMUSG00000097451,Cdkl5,D630039A03Rik,,Mdh2,,Tmem30a,,,,,,,,
Vmp1,Ccl3,Aqp1,H2-Aa,Pum1,,Chrnb1,,,Efcab4a,Usp27x,Epcam,mt-Nd5,,Cox5a,,Tlcd1,,,,,,,,
Csgalnact1,Satb1,Asf1b,Cyp26b1,Sec14l1,,Fau,,,Mmp28,Ccl6,Treml2,Neat1,,Pcna,,Rps25,,,,,,,,
Rhof,Ptbp3,Atp1b3,Fgd5,Psme3,,Efcc1,,,Mapre3,Sema4a,Klf12,Ptrf,,Rfc2,,Ddx18,,,,,,,,
Rpl21,Paics,Fgf18,Cbfa2t3,Myof,,Atp6v1d,,,Zfp612,Mpeg1,Acy3,Slc22a17,,Rpl18,,Skp1a,,,,,,,,
Gbp8,Rrm1,Satb1,F11r,Junb,,Mllt3,,,Dnajb5,Fcrla,Eng,Npdc1,,Calm3,,Rplp2,,,,,,,,
Gbp7,Cdt1,Rrm1,Rps28,Rnf187,,Gm16104,,,Pygm,ENSMUSG00000093760,Ptplad2,Plcl1,,H1fx,,ENSMUSG00000060143,,,,,,,,
Gimap6,Pdss1,Adgrg3,H2-Q4,Tm4sf1,,Flot1,,,Myof,Lgals3,Pafah1b2,Rpl36a,,Rpl28,,Rpl4,,,,,,,,
Klf9,Ndrg1,Lsm6,Angpt1,Tmem176b,,Dkkl1,,,Mgst2,ENSMUSG00000079357,Sema4b,Rps21,,Banf1,,Ptges3,,,,,,,,
Matn4,Snrpd1,Sdhd,Mmrn1,Rpl5,,Fam53b,,,Ryr3,Trpm5,Inadl,Tie1,,Fermt3,,Tmsb4x,,,,,,,,
Hsd17b10,Stx3,Sdf2l1,Gabarapl1,Peg12,,Shisa5,,,Traf1,1700022I11Rik,Myh10,Ndn,,Ube2c,,Rpl6,,,,,,,,
Enpp5,Hp1bp3,Csgalnact2,Vmp1,Oasl2,,Gstm7,,,3222401L13Rik,Rab44,Fads3,Gata3,,Srsf1,,Rps11,,,,,,,,
Gm29123,Nucks1,Topbp1,Npr1,Tnfsf10,,Clip3,,,Sgsm1,ENSMUSG00000099757,Zfp248,Gm4841,,Nrm,,Serinc3,,,,,,,,
Clca3a1,Snrpd3,Swi5,Scarf1,Zfp36l2,,Dok3,,,Clec1a,Ap1s2,Jam3,Tbxas1,,Tpx2,,Rpl23a,,,,,,,,
Sdpr,E2f8,Dtymk,Rpl3,Sema7a,,Pou2f2,,,Mks1,Pirb,Pkdrej,Cers4,,Uhrf1,,Rps27a,,,,,,,,
Sox18,Nme1,Gata1,Rplp1,Gpr4,,Abcg3,,,Osgin1,Mb21d2,Tceal1,Mgst2,,Cpa3,,Rpl19,,,,,,,,
Supt6,Ucp2,Cdt1,App,Zfp958,,Ndn,,,Magi2,Ms4a6c,Rbl2,Ldhb,,Kpna2,,Rpl30,,,,,,,,
Selm,Pgam1,Tcp1,Myof,Rftn1,,Smad7,,,Aim1,ENSMUSG00000097274,Sorbs1,Magi2,,Pmf1,,Lmo2,,,,,,,,
